SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51200,University_of_Central_Lancashire,Band 5A,Higher Education,University of Central Lancashire,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51201,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51097,University_of_Chichester,Band 9,Higher Education,University of Chichester,Active,2015-04-02,"ProQuest Archives 2014-2017 (House of Commons Parliamentary Papers, British Periodicals Collections I and II, Periodicals Archive Online: Jisc Collections Selection, Early European Books Parts 1-4, and the Vogue Archive)",2015-04-02,2017-10-31,"Jisc Collections ProQuest 18 19 20 C House of Commons Parliamentary Papers, British Periodicals Collection I & II, Periodicals Archive Online Jisc Coll Selection, Early European Books 1-4 and The Vogue Archive October 2017",2014-11-01,2017-10-31,Sublicence,England,Active,Yearly Agreement,
51202,University_of_Cumbria,Band 7,Higher Education,University of Cumbria,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51203,University_of_Derby,Band 6,Higher Education,University of Derby,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51204,University_of_Dundee,Band 4,Higher Education,University of Dundee,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51114,University_of_East_Anglia,Band 5A,Higher Education,University of East Anglia,Active,2015-04-09,Portico eBooks (2014-2017),2015-04-09,2017-06-30,Portico Jisc Collections Portico eBooks June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
51205,University_of_East_Anglia,Band 5A,Higher Education,University of East Anglia,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51249,University_of_East_Anglia,Band 5A,Higher Education,University of East Anglia,Active,2015-04-16,e-Duke Journals Scholarly Collection 2015 SMP offer,2015-04-16,2015-12-31,e-Duke Journals Scholarly Collection: Expanded SMP 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51149,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-04-16,Science Classic,2015-04-16,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,Scotland,Active,Free Agreement,
51206,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51145,University_of_Essex,Band 5B,Higher Education,University of Essex,Active,2015-04-15,Cambridge Histories Online outright purchase agreement,2015-04-15,2113-09-30,JISC Collections Cambridge University Press Cambridge Histories Online September 2016,2013-10-01,2113-09-30,Direct,England,Request sent,One-off Agreement,
51207,University_of_Essex,Band 5B,Higher Education,University of Essex,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51322,University_of_Essex,Band 5B,Higher Education,University of Essex,Active,2015-04-28,Science Classic,2015-04-28,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51106,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,JSTOR - Arts & Sciences XII Collection 2012-15 renewal,2015-04-09,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
51107,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,JSTOR - Arts & Sciences XIII Collection 2012-15 renewal,2015-04-09,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2013-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
