SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry
47788,University_of_Worcester,Band 7,Higher Education,University of Worcester,Active,7/29/14 12:40,EBSCO Education Databases,2014-08-01,2017-07-31
47821,University_of_Worcester,Band 7,Higher Education,University of Worcester,Active,7/30/14 15:13,Bureau van Dijk Databases 2012-2015 Agreement ,2014-08-01,2015-11-30
47270,University_of_York,Band 4,Higher Education,University of York,Active,7/1/14 13:03,The Times Digital Archive (1785-1985) 2014-2017,2014-08-01,2017-07-31
47271,University_of_York,Band 4,Higher Education,University of York,Active,7/1/14 13:21,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47550,University_of_York,Band 4,Higher Education,University of York,Active,7/16/14 12:28,Early European Books Collections 1-4 and The Vogue Archive,2014-07-16,2014-10-31
47265,Wellcome_Trust,Band 10,Higher Education,Wellcome Trust,Active,7/1/14 11:28,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47268,Wellcome_Trust,Band 10,Higher Education,Wellcome Trust,Active,7/1/14 12:23,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47668,Wellcome_Trust,Band 10,Higher Education,Wellcome Trust,Active,7/21/14 16:53,Science Classic,2014-07-21,2114-06-30
47561,York_St_John_University,Band 9,Higher Education,York St John University,Active,7/16/14 14:34,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47578,York_St_John_University,Band 9,Higher Education,York St John University,Active,7/17/14 8:35,Early European Books Collections 1-4 and The Vogue Archive,2014-07-17,2014-10-31
47670,York_St_John_University,Band 9,Higher Education,York St John University,Active,7/22/14 9:19,EBSCO Education Databases,2014-08-01,2017-07-31
