SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
50947,Sheffield_Hallam_University,Band 4,Higher Education,Sheffield Hallam University,Active,2015-03-10,Digimap Ordnance Survey Collection�  2014-2016,2015-03-10,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50992,"Royal_Holloway,_University_of_London",Band 6,Higher Education,"Royal Holloway, University of London",Active,2015-03-12,Springer e-Books Collections 2014 - 2015,2015-03-12,2015-12-31,Springer eBooks Collections 2014-2015,2014-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
51009,Roehampton_University,Band 7,Higher Education,Roehampton University,Active,2015-03-16,Journal and Highly Cited Data (JHCD) - Upgrade for JCR Annual Commitment Subscribers,2015-03-16,2016-09-30,Jisc Collections Thomson Reuters Journal and Highly Cited Data Upgrade Sept 2016,2014-10-01,2016-09-30,Sublicence,England,Request sent,Yearly Agreement
50905,"Queen_Mary,_University_of_London",Band 3,Higher Education,"Queen Mary, University of London",Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51059,Oxford_Brookes_University,Band 5B,Higher Education,Oxford Brookes University,Active,2015-03-25,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-25,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51064,Oxford_Brookes_University,Band 5B,Higher Education,Oxford Brookes University,Active,2015-03-25,Digimap Ordnance Survey Collection�  2014-2016,2015-03-25,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50901,Nottingham_Trent_University,Band 5A,Higher Education,Nottingham Trent University,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51011,Nottingham_Trent_University,Band 5A,Higher Education,Nottingham Trent University,Active,2015-03-16,Springer NESLi2 2013-2015 Option 2 offer: Institutional Licence,2015-03-16,2015-12-31,JISC Collections Springer Science+Business Media bv Institutional Licence dummy licence,2013-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
51038,Nottingham_Trent_University,Band 5A,Higher Education,Nottingham Trent University,Active,2015-03-19,Digimap Ordnance Survey Collection�  2014-2016,2015-03-19,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
51041,Nottingham_Trent_University,Band 5A,Higher Education,Nottingham Trent University,Active,2015-03-19,SAGE Knowledge eBooks Evidence Based Acquisition (EBA) Agreement,2015-03-19,2015-12-31,Jisc Collections SAGE Publications SAGE Knowledge EBA Dec 2015,2015-01-01,2015-12-31,Direct,England,Request sent,One-off Agreement
50961,Northumbria_University,Band 5A,Higher Education,Northumbria University,Active,2015-03-10,IOP Publishing Jisc Collections 2015 agreement - Option 2,2015-03-10,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 2,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
50931,Newcastle_University,Band 3,Higher Education,Newcastle University,Active,2015-03-04,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-04,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
51028,Newcastle_University,Band 3,Higher Education,Newcastle University,Active,2015-03-19,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-19,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50917,Liverpool_John_Moores_University,Band 5A,Higher Education,Liverpool John Moores University,Active,2015-03-03,IMechE SMP 2015-2016 offer,2015-03-03,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50918,Liverpool_John_Moores_University,Band 5A,Higher Education,Liverpool John Moores University,Active,2015-03-03,Springer NESLi2 2013-2015 Option 2 offer: Institutional Licence,2015-03-03,2015-12-31,JISC Collections Springer Science+Business Media bv Institutional Licence dummy licence,2013-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
50966,Leeds_Metropolitan_University,Band 5B,Higher Education,Leeds Beckett University,Active,2015-03-11,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-11,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
