SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
43424,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-02,Internet Archaeology and Internet Archaeology Archive 1996-2006 ,2013-08-02,2014-12-31,JISC Collections University of York Internet Archaeology Archive 1996-2006 in perpetuity,2011-08-10,2014-12-31,Sublicence,Active,Free Agreement,
45251,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-12-05,IOP Publishing NESLi2 2014 agreement - Option 1,2014-01-01,2014-12-31,IOP NESLi2 2014 offer - Option 1,2014-01-01,2014-12-31,Direct,Active,NESLi2 Agreement,
34912,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-06-23,JISC eCollections for EEBO and ECCO subscribers,2011-08-01,2014-07-31,JISC eCollections 2011-2014 sublicence agreement for EEEBO and ECCO subscribers,2011-08-01,2014-07-31,Sublicence,Active,Yearly Agreement,
44197,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-09-24,Journal Citation Reports 2013-2016 (3 Year Commitment),2013-10-01,2016-09-30,Thomson WOK Sub Licence A,2013-10-01,2016-09-30,Sublicence,Active,Yearly Agreement,
41498,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-02-28,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement,2013-02-28,2018-02-06,JUSP institutional participation agreement 1 Dec 2012 - no expiry,2012-12-01,2018-02-06,Sublicence,Active,Free Agreement,
37821,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-07-19,JSTOR - Arts & Sciences I Collection 2012 renewal,2012-08-01,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2012-08-01,2015-07-31,Direct,Request sent,Yearly Agreement,
45456,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-12-16,Knowledge Unlatched Open Access eBooks 2013 Pilot Collection,2014-02-01,2114-12-31,Knowledge Unlatched licence and pledging information,2014-03-01,2114-12-31,Direct,Request sent,One-off Agreement,
40929,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-12-06,Literature Online  2013 - 2015,2013-01-01,2015-12-31,JISC Collections ProQuest Information and Learning LION December 2015,2013-01-01,2015-12-31,Sublicence,Active,Yearly Agreement,
37212,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-02-20,Marine Digimap,2012-02-20,2016-07-31,JISC Collections SeaZone Solutions Ltd Marine Data July 2016,2010-08-01,2016-07-31,Sublicence,Active,Yearly Agreement,
44660,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-10-18,Nature Publishing Group NESLi2 Journals Agreement 2014,2014-01-01,2014-12-31,Nature Publishing Group Nature Publishing Group Journals 2014 licence holding document,2014-01-01,2014-12-31,Sublicence,Request sent,NESLi2 Agreement,
43706,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-20,Oxford Dictionary of National Biography and Who's Who & Who Was Who (discounted package) 2013-2014,2013-09-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Active,Yearly Agreement,
43705,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-20,Oxford English Dictionary Online 2013-2014,2013-09-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Active,Yearly Agreement,
45768,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-13,Oxford Handbooks Online 2013-2014,2014-04-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Request sent,Yearly Agreement,
35698,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-08-31,Oxford Journals Archive and Archive Upgrade (2011-2014 for access via OUP's platform),2011-08-31,2014-07-31,JISC Collections Oxford University Pressl Journal Archive Upgrade no expiry date 230811 final,2011-08-01,2014-07-31,Sublicence,Active,Free Agreement,
43707,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-20,Oxford Reference Online Premium Collection plus 1 Subject Collection (Literature): for existing customers only 2013-2014,2013-09-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Active,Yearly Agreement,
43698,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-08-20,Oxford Scholarship Online 2013-2014,2013-09-01,2014-08-31,JISC Collections Oxford University Press OUP Online Products Aug 2014,2013-09-01,2014-08-31,Sublicence,Active,Yearly Agreement,
45348,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-12-11,Oxford University Press NESLi2 2014 Full Collection offer ,2014-01-01,2014-12-31,Oxford University Press Journals NESLi2 2014 Full Collection offer,2014-01-01,2014-12-31,Sublicence,Request sent,NESLi2 Agreement,
44671,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-10-18,Project MUSE 2014 NESLi2 Agreement,2014-01-01,2014-12-31,Jisc Collections Project MUSE December 2014 ,2014-01-01,2014-12-31,Sublicence,Active,NESLi2 Agreement,
36846,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-12-13,Reaxys 2011-2014,2011-12-13,2014-10-31,JISC Collections Elsevier Reaxys October 2014,2011-11-01,2014-10-31,Direct,Request sent,Yearly Agreement,
44194,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-09-24,Rock's Backpages 2013-2016 three-year commitment,2013-11-01,2016-10-31,JISC Collections Backpages Ltd Rock's Backpages Three Year Commitment Oct 2016,2013-11-01,2016-10-31,Sublicence,Active,Yearly Agreement,
39959,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-09-26,Royal Society of Chemistry NESLi2 2013-15 RSC Gold offer,2013-01-01,2015-12-31,JISC Collections Royal Society of Chemistry RSC Material December 2015,2013-01-01,2015-12-31,Sublicence,Active,NESLi2 Agreement,
45642,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-02,RSC Journals Archive 1841-2007 for NESLi2 subscribers,2014-01-02,2018-12-31,Royal Society of Chemistry Jisc Collections RSC Journals Archive 1841-2007 NESLi2 Dec 2018,2014-01-01,2018-12-31,Sublicence,Request sent,Yearly Agreement,
40723,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-11-26,SAGE NESLi2 2013-14 Offer,2012-11-26,2014-12-31,JISC Collections SAGE SAGE Premier 2013 Package 31 December 2014,2012-01-01,2014-12-31,Sublicence,Active,NESLi2 Agreement,
46004,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-22,SCOAP3 Project,2014-01-01,2016-12-31,SCOAP3 holding licence agreement for GBP RFP's,2014-01-01,2016-12-31,Direct,Active,Consortia Agreement,
39896,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-09-24,Springer Science+Business Media NESLi2 2013-2015 Option 1 offer: Closed Consortium Option,2013-01-01,2015-12-31,JISC Collections Springer Science+Business Media bv Closed Consortium dummy licence,2013-01-01,2015-12-31,Sublicence,Active,NESLi2 Agreement,
43180,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-07-18,"Taylor & Francis Geography, Planning, Urban and Environment Online Archive",2013-07-18,2016-06-30,Taylor & Francis Geography Archive 2013-16,2013-07-01,2016-06-30,Sublicence,Active,Free Agreement,
45641,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-02,The Burney Collection ,2014-01-02,2015-07-31,Cengage Jisc Collections Burney Collection July 2015,2014-01-01,2015-07-31,Direct,Request sent,Yearly Agreement,
34875,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-06-21,The Times Digital Archive (1785-2006 and rolling) 2011-2014,2011-08-01,2014-07-31,JISC Collections Cengage Learning (EMEA) Ltd Times Digital Archive July 2014,2011-08-01,2014-07-31,Sublicence,Active,Yearly Agreement,
44196,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-09-24,Web of Science 2013-2016 (3 Year Commitment),2013-10-01,2016-09-30,Thomson WOK Sub Licence A,2013-10-01,2016-09-30,Sublicence,Active,Yearly Agreement,
30120,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2005-05-12,Web of Science Backfiles,2007-08-31,2110-08-30,HEFCE Thomson Scientific Web of Science Back Files in perpetuity,2007-08-31,2110-08-30,Sublicence,Active,Free Agreement,
36553,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2011-11-17,Wiley Online Library NESLi2 2012-2014,2012-01-01,2014-12-31,JISC Collections Wiley Online Library Journals Agreement December 31 2012 i2 2012-2014,2012-01-01,2014-12-31,Direct,Request sent,NESLi2 Agreement,
