Notes,KB_ID,KB_Name,JUSP_ID,ISNI,IP_ADDRESS
,515,University of Leeds,lee,0000 0004 1936 8403,129.11.*.*
,516,University of Leicester,lei,0000 0004 1936 8411,143.210.*.* EZ Proxy Server 143.210.133.25 and 143.210.133.26
,517,University of Lincoln,lin,0000 0004 0420 4262,NULL
,518,University of Liverpool,liv,0000 0004 1936 8470 ,138.253.*.*; 193.63.93.*; 194.66.240-246.*
,519,University of London,,0000 0001 2161 2573,193.63.81.* [WAM proxy server on 193.63.81.241]
,520,University of Manchester,man,,130.88.*.*; Webfeat IP: 216.147.212.169; 216.147.218.242
,521,University of Northampton,nor,0000 0004 0417 1990,193.61.80.* - 193.61.83.*; 193.63.44.* - 193.63.45.*; 194.81.96.* - 194.81.111.*; 195.195.92.* - 195.195.95.*; 195.195.156.* - 195.195.159.*195.195.228.*
,522,University of Nottingham,not,0000 0004 1936 8868,UK: 128.243.*.*; Malaysia (if applicable): 203.188.235.1-15; 203.80.21.*; 203.217.128.0-131.255: China (if applicable): 220.191.168.0-31 -CHINANET; 121.192.0.1-254 -CERNET
,523,University of Oxford,oxf,0000 0004 1936 8948,129.67.*.*; 163.1.*.*; 192.76.26.*; 192.76.27.*
,524,University of Plymouth,ply,0000 0001 2219 0747,141.163.***.***/000.000 - 255.255
,525,University of Portsmouth,por,0000 0001 0728 6636,148.197.*.*
,526,University of Reading,rea,0000 0004 0457 9566,134.225.*.*; 192.133.244.*; 193.171.166.0/24; 193.61.124.0/22; 193.61.124.*
,527,University of Salford,sal,0000 0004 0460 5971,146.87.*.*
,528,University of Sheffield,she,0000 0004 1936 9262,143.167.*.*
,1038,University of South Wales,,0000 0004 1936 9035,193.60.200-207.*;193.60.219.*;193.63.128-159.*;81.87.32-47.*;193.63.82.*;193.63.212-215.*;194.82.56-83.*
,507,University of South Wales (Glamorgan),mor,,
,541,University of South Wales (Newport),ewp,,
,529,University of Southampton,sot,0000 0004 1936 9297,152.78.*.*; 139.166.*.*
,530,University of St Andrews,ews,0000 0001 0721 1626,138.251.*.*
,531,University of Stirling,sti,0000 0001 2248 4331,139.153.*.*; 216.17.113.235; 216.17.121.235
,532,University of Strathclyde,str,0000 0004 1936 8139,130.159*.*
,533,University of Sunderland,sun,0000 0001 0555 9901,157.228.*.*
,534,University of Surrey,sur,0000 0004 0407 4824,131.227.*.*
,535,University of Sussex,sus,0000 0004 1936 7590,139.184.*.* or 139.184.0.0 - 139.184.255.255
,536,University of the Arts London,art,0000 0000 8517 0017,"195.195.64-84.*; 194.80.28-31.*; 195.194.146-147.*; 195.194.24-25.*, 165.193.178.71"
