identifier,oldname,newname,enddate
798,Intent Media:Master:2014,Intent Media:Master,2100-01-01
797,Inter-Disciplinary Press:Master:2014,Inter-Disciplinary Press:Master,2100-01-01
796,International Bar Association:Master:2014,International Bar Association:Master,2100-01-01
1005,International Monetary Fund:Master:2014,International Monetary Fund:Master,2100-01-01
548,International Phycological Society:Master:2014,International Phycological Society:Master,2100-01-01
593,International Society for Horticultural Science:Master:2014,International Society for Horticultural Science:Master,2100-01-01
985,International Society for Hypertension Blacks:Master:2014,International Society for Hypertension Blacks:Master,2100-01-01
585,Inter-Research Science Center:Master:2014,Inter-Research Science Center:Master,2100-01-01
984,Intersentia NV:Master:2014,Intersentia NV:Master,2100-01-01
795,IOM3 Communications:Master:2014,IOM3 Communications:Master,2100-01-01
99,IOS Press:Master:2012,IOS Press:Master,2100-01-01
569,IP Publishing:Master:2014,IP Publishing:Master,2100-01-01
792,IPC:Master:2014,IPC:Master,2100-01-01
953,Irish Nurses and Midwives Organisation:Master:2014,Irish Nurses and Midwives Organisation:Master,2100-01-01
791,It's nice that:Master:2014,It's nice that:Master,2100-01-01
983,J. Michael Ryan Publishing:Master:2014,J. Michael Ryan Publishing:Master,2100-01-01
941,J. Reponen:Master:2014,J. Reponen:Master,2100-01-01
790,Jackdaw:Master:2014,Jackdaw:Master,2100-01-01
789,Jaipur-Research Development Association:Master:2014,Jaipur-Research Development Association:Master,2100-01-01
570,John Benjamins Publishing:Master:2014,John Benjamins Publishing:Master,2100-01-01
435,Jordan Publishing:Master:2014,Jordan Publishing:Master,2100-01-01
597,Journal of Rheumatology Publishing:Master:2014,Journal of Rheumatology Publishing:Master,2100-01-01
594,Journal of Studies on Alcohol and Drugs:Master:2014,Journal of Studies on Alcohol and Drugs:Master,2100-01-01
105,Journal of Visualized Experiments (JoVE):Master:2012,Journal of Visualized Experiments (JoVE):Master,2100-01-01
342,JSTOR:Master:2013,JSTOR:Master,2100-01-01
948,Justis Publishing:Master:2014,Justis Publishing:Master,2100-01-01
189,Karger Medical and Scientific Publishers:Master:2013,Karger Medical and Scientific Publishers:Master,2100-01-01
910,Keesings:Master:2014,Keesings:Master,2100-01-01
788,Kelsey Publishing:Master:2014,Kelsey Publishing:Master,2100-01-01
787,Key Publishing Group:Master:2014,Key Publishing Group:Master,2100-01-01
922,Kid's Wear Verlag:Master:2014,Kid's Wear Verlag:Master,2100-01-01
595,Kluwer Law International:Master:2014,Kluwer Law International:Master,2100-01-01
786,Law Society:Master:2014,Law Society:Master,2100-01-01
596,Lawrence and Wishart:Master:2014,Lawrence and Wishart:Master,2100-01-01
731,Lawtext:Master:2014,Lawtext:Master,2100-01-01
898,Le Monde:Master:2014,Le Monde:Master,2100-01-01
899,Legal Action Group:Master:2014,Legal Action Group:Master,2100-01-01
732,Legal and Commercial Publishing:Master:2014,Legal and Commercial Publishing:Master,2100-01-01
806,Leisure Media:Master:2014,Leisure Media:Master,2100-01-01
733,Leland Stanford Junior University:Master:2014,Leland Stanford Junior University:Master,2100-01-01
901,Les Editions Jalou:Master:2014,Les Editions Jalou:Master,2100-01-01
734,L'Etudiant:Master:2014,L'Etudiant:Master,2100-01-01
735,Levelprint:Master:2014,Levelprint:Master,2100-01-01
736,Lexington Press:Master:2014,Lexington Press:Master,2100-01-01
737,LexisNexis:Master:2014,LexisNexis:Master,2100-01-01
738,Lippincott Williams & Wilkins:Master:2014,Lippincott Williams & Wilkins:Master,2100-01-01
549,Liverpool University Press:Master:2014,Liverpool University Press:Master,2100-01-01
982,Lloyds List Group / IBI:Master:2014,Lloyds List Group / IBI:Master,2100-01-01
739,Logos:Master:2014,Logos:Master,2100-01-01
740,London Review of Books:Master:2014,London Review of Books:Master,2100-01-01
